Параметр,ID,На сайте ГУ МВД / УМВД есть имя и звание начальника подразделения,"На сайте ГУ МВД / УМВД есть информация о деятельности подразделения в отчетах УМВД или УУП за последние 0,5/1 год",На информационном стенде есть информация о территории обслуживания подразделения и её границах,На информационном стенде есть контакты дежурной части районного УМВД,На информационном стенде есть телефоны подразделения собственной безопасности ,На информационном стенде есть телефоны федеральной и региональной «горячей линии МВД»,"На информационном стенде есть телефоны, электронные и почтовые адреса РЕГИОНАЛЬНОГО Уполномоченного по правам ЧЕЛОВЕКА","На информационном стенде есть телефоны, электронные и почтовые адреса РЕГИОНАЛЬНОГО Уполномоченного по правам РЕБЕНКА","На информационном стенде есть телефоны, электронные и почтовые адреса ФЕДЕРАЛЬНОГО Уполномоченного по правам ЧЕЛОВЕКА","На информационном стенде есть телефоны, электронные и почтовые адреса ФЕДЕРАЛЬНОГО Уполномоченного по правам РЕБЕНКА","На информационном стенде есть телефоны, электронные и почтовые адреса Общественной наблюдательной комиссии по контролю за соблюдением прав человека в местах принудительного содержания (ОНК)","На информационном стенде есть телефоны, электронные и почтовые адреса дежурного прокурора районной и региональной прокуратуры","На информационном стенде есть телефоны, электронные и почтовые адреса регионального Общественного совета при ГУ МВД и УМВД",На информационном стенде есть информация о присутствии членов Общественных советов при приёме граждан (график встреч),"На информационном стенде есть информация о порядке подачи заявлений (обязательность выдачи талона КУСП, сроки рассмотрения заявления, выдержки из нормативных актов)","На информационном стенде есть информация о том, что делать посетителю, если не приняли заявление","На информационном стенде есть информация о том, как обжаловать действия сотрудников полиции",На информационном стенде есть информация о правах задержанных
баллы,46,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,5,5,5
85 отдел полиции,85,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да
60 отдел полиции,60,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет
64 отдел полиции ,64,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет
74 отдел полиции,74,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет
15 отдел полиции,15,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет
82 отдел полиции,82,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Нет
50 отделение полиции,50,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет
24 отдел полиции,24,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да
70 отдел полиции,70,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да
77 отдел полиции,77,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет
25 отдел полиции,25,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да
34 отдел полиции,34,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да
53 отдел полиции,53,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да
32 отдел полиции,32,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да
46 отделение полиции,46,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да
58 отдел полиции,58,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет
81 отделение полиции,81,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Да
36 отдел полиции,36,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
21 отдел полиции,21,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Нет,Да
Дежурная часть ОМВД Кронштадтского района,ДКР,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да
49 отделение полиции,49,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет
54 отдел полиции,54,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет
42 отдел полиции,42,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Нет
51 отдел полиции,51,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет
17 отдел полиции,17,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да
28 отдел полиции,28,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да
66 отдел полиции,66,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет
1 отдел полиции,1,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет
78 отдел полиции,78,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет
76 отдел полиции,76,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет
16 отдел полиции,16,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да
30 отдел полиции,30,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Нет
13 отдел полиции,13,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет
52 отдел полиции,52,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Нет
71 отдел полиции,71,-,-,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет
27 отдел полиции,27,-,-,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет
18 отдел полиции,18,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Нет
14 отдел полиции,14,-,-,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет
38 отдел полиции,38,-,-,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Да,Нет,Нет
19 отдел полиции,19,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет
3 отдел полиции,3,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет
